CWPName,SourceID,CWPStreet,CWPCity,CWPState,RegistryID,CWPSICCodes,CWPNAICSCodes,FacLat,FacLong,CWPFacilityTypeCode,FacMapFlg,"DFR URL"
"ADAK PETROLEUM LLC BULK FUEL FACILITY",AKR06AA03,"10252 TRANSIT ROAD",ADAK,AK,110070215939,5171,,51.863056,-176.639444,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA03&sys=ICP
"AGGPRO SITE",AKR06AA89,"5760 CONCRETE WAY",JUNEAU,AK,110069581526,"2951 3281 3273",,58.3543,-134.50215,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA89&sys=ICP
"AGRIUM KENAI NITROGEN OPERATIONS",AKR06AC02,"47901 KENAI SPUR HIGHWAY",KENAI,AK,110070506477,2873,325311,60.67669,-151.37712,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AC02&sys=ICP
"ALASKA AEROFUEL INC.",AKR06AF42,"5855/5859 AEROFUEL PLACE",FAIRBANKS,AK,110070227621,"4581 5171",,64.805833,-147.890556,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AF42&sys=ICP
"ALASKA AIRLINES -ANCHORAGE HANGER",AKR061002,"3600 OLD INTERNATIONAL ROAD",ANCHORAGE,AK,110070710238,3721,,61.1741,-149.95289,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061002&sys=ICP
"APMA 9156-GIL EXPLORATION SITE",AKR06AB39,"NONE PROVIDED",FAIRBANKS,AK,110070502882,1041,,65.01182,-147.0962,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AB39&sys=ICP
"BETHEL AIRPORT DELTA WESTERN OPERATIONS",AKR06AE20,"3568 STATE HWY",BETHEL,AK,110070500112,4581,,60.7798,-161.8419,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AE20&sys=ICP
"BRYANT ARMY AVIATION SUPPORT FACILITY",AKR06AA18,"DAVIS HIGHWAY",ANCHORAGE,AK,110064445293,4581,,61.26,-149.677222,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AA18&sys=ICP
"CALDER MINE",AKR06AB33,"NEAR CALDER",CALDER,AK,110070504522,1422,,56.1766,-133.4607,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AB33&sys=ICP
"CLAIRE AIR LLC",AKR06AB30,"5525 AIRPORT INDUSTRIAL RD",FAIRBANKS,AK,110070503707,4512,,64.811,-147.884,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06AB30&sys=ICP
"DELTA AIRLINES INC",AKR061003,"5000 W INTERNATIONAL AIRPORT RD",ANCHORAGE,AK,110000779961,4512,,61.181239,-149.993591,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061003&sys=ICP
"DELTA WESTERN LLC-UNALASKA-DUTCH HARBOR AIRPORT",AKR06GA96,"101 AIRPORT DRIVE","DUTCH HARBOR",AK,110070791238,4581,,53.895033,-166.5411,,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR06GA96&sys=ICP
"EVERTS AIR CARGO ",AKR061006,"6111 LOCKHEED AVE.",ANCHORAGE,AK,110070506805,"4513 4512",,61.1955,-149.99521,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061006&sys=ICP
"FEAM (F&E GROUND SERVICES) ANC-GP",AKR061012,"6300 BOEING AVE.",ANCHORAGE,AK,110070710874,4581,,61.1981,-150.00186,POF,Y,https://echo.epa.gov/detailed-facility-report?fid=AKR061012&sys=ICP
