OBJECTID,Mine_ID,Mine Name,Operation Type,Mine Status,Primary Product,Other Products,Owner,Operator,Lead Agency,Report Year,Acres Disturbed,Reclamation Status,Permit Number,Permit Acres,Financial Assurance Mechanism Total,Financial Assurance Cost Estimate,Latitude,Longitude,x,y
935038,91-37-0037,BORDER HIGHLANDS PIT,OPEN PIT,CLOSED NO INTENT TO RESUME,Sand and Gravel,,COUNTY OF SAN DIEGO,CITY AND COUNTY OF SAN DIEGO,City of San Diego,2018,0,RECLAMATION NOT STARTED,CUP497-PC,146.00,,0,32.541944,-117.075,-13032729.3846,3834661.3301
935039,91-37-0039,BEYER PIT,OPEN PIT,RECLAIMED,Sand and Gravel,,COUNTY OF SAN DIEGO,COUNTY OF SAN DIEGO,City of San Diego,2011,10,RECLAMATION NOT STARTED,BLANK,,,0,32.588056,-117.063333,-13031430.620099999,3840752.072999999
935040,91-37-0035,CHULA VISTA,OPEN PIT,ACTIVE,Sand and Gravel,,VULCAN MATERIALS COMPANY,"CALMAT DBA., VULCAN MATERIALS CO.",City of Chula Vista,2018,172.1,RECLAMATION IN PROGRESS,,388.00,1553651,2358372,32.59,-116.993333,-13023638.255800001,3841008.916699998
935041,91-37-0053,JAMUL QUARRY,QUARRY,RECLAIMED,Sand and Gravel,,OTAY LAKES NURSERY HOLDINGS L.L.C.,CALMAT COMPANY DBA VULCAN MATERIALS COMPANY,County of San Diego,2004,0,RECLAMATION IN PROGRESS,MUP 84-108W,158.00,101976,0,32.638889,-116.876944,-13010681.8916,3847470.025600001
935042,91-37-0044,BUCKMAN PIT,QUARRY,ACTIVE,Fill Dirt,,COUNTY OF SAN DIEGO DEPARTMENT OF PUBLIC WORKS,COUNTY OF SAN DIEGO,County of San Diego,2018,13,RECLAMATION NOT STARTED,"MUP71-519W,RP80-003,P75-519W2",,500000,86106.06,32.641944,-116.481111,-12966617.9636,3847873.887699999
935043,91-13-0064,MOUNT SIGNAL GRAVEL PIT,OPEN PIT,RECLAIMED,Stone,,IMPERIAL IRRIGATION DISTRICT,IMPERIAL IRRIGATION DISTRICT,County of Imperial,2011,,RECLAMATION NOT STARTED,CA060-FP7-,0.00,,0,32.651389,-115.693056,-12878892.0822,3849122.5766000003
935044,91-13-0033,COYOTE II PIT,OPEN PIT,ACTIVE,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,2018,29,RECLAMATION NOT STARTED,CA-27432,0.00,21550.41,35944,32.656111,-115.925556,-12904773.8638,3849746.904299997
935045,91-13-0035,MOUNT SIGNAL,OPEN PIT,RECLAIMED,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,1995,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CA-060-FP4,0.00,,,32.657222,-115.711944,-12880994.684799999,3849893.802000001
935046,91-13-0046,COYOTE,PROSPECT,IDLE,Sand and Gravel,,CALIFORNIA DEPARTMENT OF TRANSPORTATION,CALIFORNIA DEPARTMENT OF TRANSPORTATION,County of Imperial,2018,10,RECLAMATION IN PROGRESS,,10.00,,41492.03,32.663611,-115.696389,-12879263.110100001,3850738.598200001
935047,91-13-0072,GIBSON AND SCHAEFER,OPEN PIT,ACTIVE,Fill Dirt,,"GIBSON'S ALL AMERICAN AGGREGATES, INC.","GIBSON'S ALL AMERICAN AGGREGATES, INC.",County of Imperial,2018,30,RECLAMATION IN PROGRESS,"166-93,CA-40796",,20676,9825.64,32.672222,-115.753333,-12885602.0872,3851877.2974999994
