FACILITY_NAME,LATITUDE,LONGITUDE
Winn Rock Inc,31.911111,-92.718056
Leon Duplessis & Sons Inc,29.785000,-90.025278
NC Materials Inc - Hahnville Sandpit,29.973219,-90.404961
St Landry Parish Solid Waste Disposal District,30.683889,-92.062222
Solar Marine Salvage & River Sand,29.716667,-91.214722
Beverly Industries LLC,29.944167,-90.143611
Sand Inc - River Sand Pit,29.709167,-91.224722
US Silica Co - Dubberly Loading Facility,32.499444,-93.203611
Blount Brothers Construction Inc,32.376667,-93.753333
Wood Resources LLC,29.943206,-90.229056
Patriot Construction & Equipment LLC - Terrel's Pond,30.299875,-91.982442
Brown's Village Road Sand Pit,30.324689,-89.790619
Angelle Concrete Group LLC - Aggregates Site,30.834444,-90.827778
Johnny F Smith Truck & Dragline Service Inc,30.265361,-89.839531
Wood Materials LLC - Algiers Pit,29.910472,-89.920122
Beverly Industries LLC,29.931111,-90.143056
Larry Grayson & Son Trucking LLC,31.068056,-92.623889
Wood Resources Corp - Eastbank Sand Pit,29.935556,-90.189722
Bayou Fleet Inc - Maintenance Dredging Project,29.981558,-90.466369
Wood Materials LLC,29.939444,-90.185000
McDonald Enterprises Inc,30.378539,-89.903039
Civil Construction Co & Environmental Services Inc,30.184010,-93.371130
Broussard Town of - Soil Excavation Facility,30.101667,-91.967778
Mears Sand & Gravel LLC,30.652392,-90.902675
JP & Sons Inc,29.943083,-90.228750
Lafarge Aggregates Illinois Inc - Honey Island Operations,30.445000,-89.704444
Kentwood Brick & Tile Co Inc - Greensburg Plant,30.781111,-90.711389
TXI Operations LP - Jena Aggregates Plant,31.665556,-92.183056
TXI Operations LP - Woodworth Plant #334,31.122222,-92.503889
Bunch Gravel Inc - Bunch Gravel Pit 1,30.835278,-90.854722
Arcosa Aggregates Inc,30.858611,-93.479722
Wilmer Dirt Pit,30.816030,-90.319350
Bolivar Dirt Pit,30.843056,-90.377222
Beverly Construction Co LLC - Westbank Sand Pit,29.974350,-90.405056
Construction Site Specialties LLC,30.297400,-92.074310
TXI Operations LP - Perryville Aggregates,32.686111,-91.955000
Sumner Dirt Pit,30.870556,-90.479444
Fowler & Covington Inc - Dirt Pit,32.561944,-93.520278
Amethyst Construction - Dirt Pit,32.467778,-92.266944
Builders Supply Co Inc - Hope Sand & Gravel Processing Plant,32.770556,-93.782222
Strategic Planning & Associates - Contreras Borrow Pit,29.868056,-89.780833
Blount Brothers Construction Inc - Blount Brothers Borrow Pit,32.560833,-93.869167
Lawrence J Noel Inc - Noel Sand Pit,30.186111,-91.023889
McMurray Dirt & Demolition Co,32.112364,-91.705631
Beverly Industries Inc - Sandpit,29.943889,-90.145556
3C Riverside Properties LLC - Borrow Pit Site,29.991944,-90.497778
Beverly Industries LLC - Meraux Sand Pit,29.928686,-89.934439
Century Ready Mix,32.417222,-92.193611
South Louisiana Fill Materials LLC - River Dredging & Pit Operations,30.116136,-90.953331
Glenn Lege Construction Inc - Dove Rd Pit,29.938020,-92.078940
Circle E Materials LLC - Zemurray Dirt Pit,30.623889,-90.303611
Circle E Materials LLC - Loranger Pit,30.597500,-90.398100
Standard Gravel Co - Old Standard,30.803704,-90.142545
Red Hot Trucking & Construction LLC - Red Hot Dirt Pit,30.528889,-90.927222
Amethyst Construction Inc - Asphalt Plant Mining Operation,32.593056,-92.605000
DRS Haulers LLC - Leach Dirt Pit,31.789722,-93.165278
Integrated Pro Services LLC,29.797500,-90.018889
3C Riverside Properties LLC - Phase III,30.019667,-90.493833
South LA Fill Materials LLC - Smith Bayou  Dirt Pit,30.218194,-90.963219
Patriot Construction & Industrial LLC,30.117420,-92.131630
W&B Construction LLC - Highway 913 Site,31.836389,-91.717778
Red Chute Dirt Pit,30.581944,-93.613889
Delta Mining Co LLC - East Over Lake,30.035225,-89.934642
Kass Bros Inc,29.926389,-90.143056
High Hope Dirt Pit,30.320278,-93.330000
