"Permit No","Site Name","Permittee Name","Project Name","Permit Type","Status","Rating","Location","City","County","EFO Name","__Issuance__","_Effective_","__Expiration__"
"TN0047392","APAC Atlantic, Inc. Harrison Division, Sand Mine 1","APAC Atlantic, Inc. Harrison Division","Mine 1 - Harrison Sand Plant ","Mining","Reissuance","Minor","1902 Cox Valley Road
","Crab Orchard","Cumberland","Cookeville","20-MAY-2016","01-JUN-2016","31-MAY-2021"
"TN0070424","Affordable Crushed Stone LLC","Affordable Crushed Stone, LLC","Fairview Road Quarry","Mining","Modification","Minor","1478 Fairview Road","Tellico Plains","Monroe","Knoxville","04-JUN-2019","04-JUN-2019","03-JUN-2024"
"TN0045233","American Colloid Company","American Colloid Company","-","Mining","Reissuance","Minor","Shirley Street","Paris","Henry","Jackson","15-MAY-2018","01-JUN-2018","31-MAY-2023"
"TN0072109","American Materials Technologies, LLC - Chattanooga Quarry; Ready Mix USA, Jersey Pike Plant","American Materials Technologies, LLC - Martin Marietta Materials, Inc","Chattanooga Quarry ","Mining","Active","Minor","2 Pelican Drive","Chattanooga","Hamilton","Chattanooga","28-AUG-2019","01-NOV-2019","31-OCT-2024"
"TN0069302","American Sand Company, LLC - Quarry No. 2","American Sand Company LLC","Quarry 2","Mining","Reissuance","Minor","Highway 70 near Roberson Road in Sand Springs","Monterey","Putnam","Cookeville","17-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0062910","American Sand Preparation Plant","American Sand Company LLC","American Sand Prep Plant ","Mining","Reissuance","Minor","9130 Monterey Highway","Monterey","Putnam","Cookeville","15-APR-2019","01-MAY-2019","30-APR-2024"
"TN0066231","American Sand Company, 50 Acre Tract","American Sand Company LLC","50 Acre Tract","Mining","Reissuance","Minor","Rocky Point Road, off of US Hwy 70","Monterey","Putnam","Cookeville","20-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0066249","American Sand Company LLC","American Sand Company LLC","40 Acre Tract","Mining","Reissuance","Minor","US Hwy 70, near Pinhook","Monterey","Putnam","Cookeville","01-OCT-2018","01-OCT-2018","30-SEP-2023"
"TN0079901","American Sand Company LLC - Quarry No. 1","American Sand Company LLC","Quarry 1","Mining","Reissuance","Minor","10901 Monterey Highway (US-70)","Monterey","Putnam","Cookeville","22-JUN-2018","01-AUG-2018","31-JUL-2023"
"TN0066265","American Sand Company, LLC (80 Acre Tract)","American Sand Company, LLC","80 Acre Tract","Mining","Reissuance","Minor","Highway 70 at Sand Springs","Monterey","Putnam","Cookeville","01-MAR-2018","01-MAR-2018","28-FEB-2023"
