Permittee,Site Name,Site Address,MCD,County,FID,FIN,Permit,DNR Region,Status
3M Greystone Quarry,3M GREYSTONE QUARRY,410 Decatur Dr,MAINE - T,Marathon,737153010,1392,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
701 Investments LLC,Spread Eagle Pit,Hwy 2 NW NE Sec 11 T39N R19E,-,Florence,419006720,52462,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Heating Plumbing & Excavating,Joan's pit,1474 N STH 40,EXELAND - V,Sawyer,,59175,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heating & Excavating,CTH H pit,1474 N STH 40,EXELAND - V,Sawyer,,59174,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heating & Excavating,Ewert pit,1474 N STH 40,EXELAND - V,Sawyer,,59176,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heating & Excavating,Schweitzer pit,1474 N STH 40,EXELAND - V,Sawyer,,59172,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
A-1 Plumbing Heatting & Excavating,CTH B pit,1474 N STH 40,EXELAND - V,Sawyer,,59173,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
ANDERSON BROS & JOHNSON DIV OF MICHELS CORP,RIB MOUNTAIN QUARRY,Prehn Dr,MAINE - T,Marathon,337002270,3084,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
ANDERSON BROS & JOHNSON DIV OF MICHELS CORP,"WISCONSIN, RUBY RED QUARRY",2180 Maine Drive,MAINE - T,Marathon,337002380,3114,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
ANDERSON BROS & JOHNSON DIV OF MICHELS CORP,Anderson Bros Rose Jr. Quarry,"NW NW, Sec 36, T30N, R8E",TEXAS - T,Marathon,,36074,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
"AW Oakes & Son, Inc","AW OAKES & SON, INC",2000 Oakes Road,RACINE - C,Racine,399081870,47554,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
"AW Oakes & Son, Inc.",PM Crushing Mobile Unit 1,Variable,STURTEVANT - V,Racine,399091770,50276,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Abraham Trucking Excavating,Walters Pit,11245 N 73rd St.,WAUSAU - C,Marathon,,45023,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Adam Enterprises Inc,Adams Sand and Gravel,29128 52nd Street,SALEM - T,Kenosha,399065810,41482,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Adam Scheunemann - Pit,Shell Rock Pit,T24N R5E Sec 33,MILLADORE - T,Wood,772053370,21868,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
