MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CURRENT_CONTROLLER_BEGIN_DT,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,LONGITUDE,LATITUDE,DIRECTIONS_TO_MINE,NEAREST_TOWN
100003,O'Neal Quarry & Mill,M,Surface,Active,01/22/1979,0041044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",AL,1,117,Shelby,07/01/1989,327400.0,Lime,3274.0,0.0,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,6.0,Stone,6.0,Stone,N,,85.753333,38.256389,Approx 7 miles south of the city of Alabaster on Hwy 31.,Calera
100004,Brierfield Quarry,M,Surface,Active,03/04/2003,0041044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",AL,1,7,Bibb,06/14/2000,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,141102.0,Dimension Limestone,1411.0,2.0,6.0,Stone,6.0,Stone,N,,86.96333299999999,33.038056,"I-65 SOUTH EXIT US 31 TO CALERA, TURN RIGHT ON AL 25 GO THRU MONTEVALLO & WILTON, MINE SIGN WILL BE ON THE LEFT APPROX. 7 MILES, FOLLOW TO MINE OFFICE ON THE LEFT.",Brierfield
100006,Auburn Quarry,M,Surface,Active,09/24/1976,M00174,Martin Marietta Materials Inc,L16197,"Martin Marietta Materials, Inc.",AL,1,81,Lee,01/17/2002,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,85.470556,32.530556,85 to Hwy. 29 South to County Rd. 10; turn left about 5 miles left on Lee Rd.,Auburn
100008,Landmark Plant,M,Surface,Active,11/14/1975,M31753,Alan B  Cheney,L31753,Cheney Lime & Cement Company,AL,1,117,Shelby,01/01/1950,327400.0,Lime,3274.0,0.0,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,6.0,Stone,6.0,Stone,N,,86.65756800000001,33.351176,I-65 S to exit 238; right on Hwy 31 1/8 miles to Co Hwy 263; left on Hwy 263 about 1 miles turn right at sign to mine.,Alabaster
100009,Dolcito Quarry,M,Surface,Active,07/04/1976,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,73,Jefferson,04/21/1989,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.76333299999999,33.586388,I-65 N to I-59 N to Tallapoosa St. exit. Mine appro. .3 miles on rignt.,Tarrant
100011,Imerys Sylacauga Operations,M,Surface,Active,11/14/1975,M11763,Imerys S A,L17145,"Imerys Carbonates USA, Inc.",AL,1,121,Talladega,02/05/2016,142901.0,"Crushed, Broken Marble",1429.0,1.0,,,,,6.0,Stone,,,N,,86.333056,33.240278,"Travel on Hwy 280 toward Sylacauga, AL. Operation is located approx. 3 miles SW in Sylacauga from Hwy. 280, take a right on Ft. Williams, Sylacauga on the left.",Sylacauga
100012,Ohatchee Quarry ,M,Surface,Active,12/13/2011,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,15,Calhoun,01/01/1986,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,85.92805600000001,33.783611,"Take I-59 North to Hwy. 411, Take Hwy. 411 to Hwy. 431 South, Follow to Alexandria, turn right onto Hwy. 144, fo two miles turn left at Vulcan sigh follow road to mine.",Alexandria
100013,C A Langford Co Inc,M,Surface,Active,11/14/1975,M31370,Charles A  Langford; William S  Langford,L31370,C A Langford Company Inc,AL,1,95,Marshall,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.369167,34.338333,"TAKE I-65N TO GADSDEN EXIT 431N TO GUNTERSVILLE. TAKE HWY. 69S TO WARRENTOWN RD. (FIRST LIGHT AFTER YOU CROSS THE LAKE. TURN LEFT, MINE APPROX. 2 MILES ON THE RIGHT)",Guntersville
100016,Demopolis Plant Cemex Inc,M,Facility,Active,04/12/1976,M09149,Cemex S A,0118327,"CEMEX Southeast, LLC",AL,1,91,Marengo,07/22/2015,324100.0,Cement,3241.0,0.0,,,,,6.0,Stone,,,N,,87.8125,32.510277,East side of Demopolis.,Demopolis
100021,HUNTSVILLE NORTH QUARRY,M,Surface,Active,04/18/1975,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,89,Madison,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.625,34.778611,Hwy. 53 North from Huntsville to Strringfield Rd.-Rt. about 2 mile - mine on left.,Huntsville
100027,NATIONAL CEMENT COMPANY,M,Facility,Active,11/26/1975,M02802,Vicat S A,L12645,"National Cement Co., of AL., Inc.",AL,1,115,St Clair,01/01/1950,324100.0,Cement,3241.0,0.0,,,,,6.0,Stone,,,N,,86.155833,33.744444,"I-20 East from Birmingham; exit 158, North on Hwy 231; 10 miles, plant on left.",Ragland
100028,Fort Payne Quarry,M,Surface,Active,03/25/1977,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,49,De Kalb,05/04/2007,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,85.735833,34.423333,U. S. #11 South to 22nd Street.  Left on 22nd Street to Godfrey Ave. SE.  Left on Godfrey Ave. SE to Covington Rd Right on Covington Quarry Rd.,Fort Payne
