Site ID,Name,Manager,Classification,Status,Permit Status,Region
570,Adak Husky Road Landfill,Melinna Faw,Class III Landfill,Active,Current,Adak
615,Afognak ANC Danger Bay Camp,Evan Miller,Class III Camp Landfill,Active,Current,Afognak
624,Afognak ANC Woodwaste,Evan Miller,Woodwaste Monofill,Active,Current,Afognak
350,Afognak Koncor Wood Waste and Camp Comprehensive,Evan Miller,Class III Camp Landfill,Active,Current,Afognak
343,Akhiok Landfill,Stephen Price,Class III Landfill,Active,Current,Akhiok
342,Akiachak Landfill,Melinna Faw,Class III Landfill,Active,Current,Akiachak
344,Akiak Landfill,Melinna Faw,Class III Landfill,Active,Current,Akiak
348,Alakanuk Landfill,Stephen Price,Class III Landfill,Active,Current,Alakanuk
3732,Alaska Coastal Aggregates Black Bear Pit #1,Christi Scott,Woodwaste Monofill,Active,Current,Klawock
3729,Alaska Coastal Aggregates Black Bear Pit #2,Christi Scott,Woodwaste Monofill,Active,Current,Juneau
3748,Alaska Medical Waste,Lori Aldrich,Treatment Facility,Active,Current,Anchorage
3691,Alaska Wildland Adventures Camp GP,Evan Miller,Remote Camp or Lodge Landfill,Active,Current,Cooper Landing
3643,Alatna Landfill,Trisha Bower,Class III Landfill,Active,Current,Alatna
352,Aleknagik North Shore Landfill,Stephen Price,Class III Landfill,Active,Current,Aleknagik
59,Allakaket 1.6 mile South Landfill,Trisha Bower,Class III Landfill,Active,Current,Allakaket
189,Alyeska Pipeline Site 100-1 Camp,Neil Lehner,Class III Camp Landfill,Active,Current,Wiseman
191,Alyeska Pipeline Site 117-1B Camp,Neil Lehner,Class III Camp Landfill,Active,Current,Sagwon
192,Alyeska Pipeline Site 38-1 Camp,Neil Lehner,Class III Camp Landfill,Active,Current,Paxson
428,Ambler Landfill,Sarah Durand,Class III Landfill,Active,Current,Ambler
3707,Anaktuvuk Pass 1-Time Authorization SWINERT-35,Trisha Bower,1-Time Inert Waste Monofill,Active,Expired,Anaktuvuk Pass
518,Anaktuvuk Pass 2.3 mile North Landfill,Trisha Bower,Class III Landfill,Active,Current,Anaktuvuk Pass
359,Anchorage Regional Landfill,Evan Miller,Class I Landfill,Active,Current,Anchorage
35,Anderson Sewage Sludge Monofill 1,Neil Lehner,Sewage Solids Monofill,Active,Current,Anderson
374,Angoon Landfill,Christi Scott,Class III Landfill,Active,Current,Angoon
193,Aniak Landfill,Sarah Durand,Class III Landfill,Active,Current,Aniak
194,Anvik Landfill,Sarah Durand,Class III Landfill,Active,Current,Anvik
2249,Arctic Village 2 Mile SouthWest Landfill,Trisha Bower,Class III Landfill,Active,Current,Arctic Village
500,ASG Anchorage Sand Lake Gravel Pit,Evan Miller,Other,Active,,Anchorage
361,Atka Landfill,Melinna Faw,Class III Landfill,Active,Current,Atka
203,Atmautluak Landfill,Melinna Faw,Class III Landfill,Active,Current,Atmautlauk
3772,Atmautluak School Sewage Lagoon,Melinna Faw,1-Time Sewage Lagoon Closure,Active,Approved,Atmautlauk
38,Atqasuk Landfill,Trisha Bower,Class III Landfill,Active,Current,Atqasuk
3747,B & P Waste Services Inc,Neil Lehner,Treatment Facility,Active,Current,Fairbanks
593,Barrow Landfill,Neil Lehner,Class II Landfill,Active,Current,Barrow
491,Barrow TOS,Neil Lehner,Treatment Facility,Active,Current,Barrow
43,Beaver Landfill,Trisha Bower,Class III Landfill,Active,Current,Beaver
367,Beluga Chugach Electric Camp,Reese Thieme,Class III Camp Landfill,Active,Current,Beluga
253,Beluga Landfill,Evan Miller,Class III Landfill,Active,Current,Beluga
205,Bethel Landfill,Melinna Faw,Class II Landfill,Active,Approved,Bethel
440,Birch Creek Landfill,Trisha Bower,Class III Landfill,Active,Current,Birch Creek
1764,Bornite Mine Camp,Sarah Durand,Class III Camp Landfill,Active,Current,Kobuk
686,BP CC2A Drilling Waste GP,Reese Thieme,Storage Facility,Active,Current,Prudhoe Bay
199,BP DS-4 G&I,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
657,BP W Pad Drilling Waste GP,Reese Thieme,Storage Facility,Active,Current,Prudhoe Bay
662,Brevig Mission 2 mile Southeast Landfill,Trisha Bower,Class III Landfill,Active,Current,Brevig Mission
48,Buckland Landfill,Christi Scott,Class III Landfill,Active,Current,Buckland
57,Cape Lisburne LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Cape Lisburne
210,Cape Newenham LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Platinum
211,Cape Romanzof LRRS GP,Neil Lehner,Long Range Radar Site,Active,Current,Cape Romanzof
442,Central Landfill,Trisha Bower,Class III Landfill,Active,,Central
1797,Chalkyitsik Hilltop Subdivision Landfill,Trisha Bower,Class III Landfill,Active,Current,Chalkyitsik
212,Chefornak Landfill,Melinna Faw,Class III Landfill,Active,Current,Chefornak
626,Chena Hot Springs Camp,Sarah Durand,Class III Camp Landfill,Active,Current,Chena Hot Springs
213,Chenega Bay Landfill,Melinna Faw,Class III Landfill,Active,Administrative Continuance,Chenega Bay
214,Chevak Landfill,Stephen Price,Class III Landfill,Active,Current,Chevak
216,Chignik Lagoon Landfill,Stephen Price,Class III Landfill,Active,Current,Chignik Lagoon
217,Chignik Lake Landfill,Stephen Price,Class III Landfill,Active,Current,Chignik Lake
219,Chignik Landfill,Stephen Price,Class III Landfill,Active,In Progress,Chignik
531,Chuathbaluk Landfill,Sarah Durand,Class III Landfill,Active,Current,Chuathbaluk
519,Chugiak Birchwood R&SP C&D Waste,Reese Thieme,Inert Monofill,Active,Current,Chugiak
524,Circle Landfill,Trisha Bower,Class III Landfill,Active,Current,Circle
535,Clark's Point Landfill,Stephen Price,Class III Landfill,Active,In Progress,Clark's Point
620,Clear AFS Inert Waste,Neil Lehner,Inert Monofill,Active,Current,Clear
220,Cold Bay Landfill,Melinna Faw,Class III Landfill,Active,Current,Cold Bay
487,ConocoPhillips Alpine G&I Facility,Reese Thieme,Treatment Facility,Active,Current,Nuiqsut
671,ConocoPhillips CPF-1 Drilling Waste GP,Reese Thieme,Storage Facility,Active,Current,Prudhoe Bay
3731,ConocoPhillips DS-1B Hammer Mill,Reese Thieme,Treatment Facility,Active,Expired,Prudhoe Bay
201,ConocoPhillips DS-1H Drilling Waste GP,Reese Thieme,Storage Facility,Active,Current,Deadhorse
3799,ConocoPhillips GMT-Alpine Mobile G&I,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
3800,ConocoPhillips GMT-Alpine Mobile Hammer Mill,Reese Thieme,Treatment Facility,Active,Current,Prudhoe Bay
