Permit,Site / Facility,City,Owner / Operator,Date Issued,Primary SIC/NAICS code,Seconday SIC/NAICS code,GPS Latitude,GPS Longitude,Facility Physical Address,Facility Physical Description,Borough (or similar governemtn subdivision),Phone number,email address
AKR06AC57,Crowley Fuels LLC Valdez Facility,Valdez,Crowley Fuels,17-Jun-20,,,,,,,,,
AKR06AD95,Trident Seafoods Ketchikan Facility,Ketchikan,Trident Seafoods,16-Jun-20,,,,,,,,,
AKR06AB42,Haines Gravel Rock Source,Haines,Secon,16-Jun-20,,,,,,,,,
AKR06AA61,Northwest Auto Parts_1,Anchorage,Northwest Auto Parts,16-Jun-20,,,,,,,,,
AKR06AA51,Frosty Fuels Cold Bay Bulk Fuel Facility,Cold Bay,Aleut Enterprise LLC,15-Jun-20,,,,,,,,,
AKR06GB09,Skookum Quarry,Chugiak,Western Construction &amp; Equipment,12-Jun-20,,,,,,,,,
AKR06AE82,Silver Bay Seafoods- Sitka,Sitka,Silver Bay Seafoods,12-Jun-20,,,,,,,,,
AKR06AA03,Adak Petroleum LLC Bulk Fuel Facility,Adak,Aleut Enterprise LLC dba Adak Petroleum ,12-Jun-20,,,,,,,,,
AKR06AB30,Claire Air LLC,Fairbanks,"Tatonduk Outfitters Limited, EAC/EAA ",11-Jun-20,,,,,,,,,
AKR06AB19,Gilmore,Fairbanks,"Fairbanks Gold Mining, Inc.",11-Jun-20,,,,,,,,,
AKR06AB39,APMA 9156-Gil Exploration Site,Fairbanks,"Fairbanks Gold Mining, Inc.",11-Jun-20,,,,,,,,,
AKR06GB04,Metco Alaska LLC,Seward,Metco Alaska LLC,10-Jun-20,,,,,,,,,
AKR06AB45,Hidden Valley Quarry,Juneau,Secon,10-Jun-20,,,,,,,,,
AKR06GB06,Granite Construction RV Park Quarry,Girdwood,Granite Construction Company,9-Jun-20,,,,,,,,,
AKR06AE51,Trident Seafoods Akutan Facility,Akutan,Trident Seafoods,9-Jun-20,,,,,,,,,
AKR06AF61,Southeast Stevedoring Marine Service Center,Ketchikan,Sotheast Stevedoring Corporation,9-Jun-20,,,,,,,,,
AKR06GA40,Noatak River Gravel Mine-Nimiuk Pt Gravel Mine,Kotzebue,Drake Construction Inc,9-Jun-20,,,,,,,,,
AKR06AF88,Sysco Alaska Inc,Anchorage,"Sysco Alaska, Inc.",8-Jun-20,,,,,,,,,
AKR06AF64,Trident Seafoods Cordova South MSGP,Cordova,Trident Seafoods,5-Jun-20,,,,,,,,,
AKR06AA04,Shoreside Petroleum Inc. Seward Bulk Fuel Facility and Marin,Seward,Shoreside Petroleum Inc.,4-Jun-20,,,,,,,,,
AKR06AA89,Aggpro Site,Juneau,SECON,4-Jun-20,,,,,,,,,
AKR06AF94,Sound Quarry Inc,Nome,Sound Quarry Inc.,3-Jun-20,,,,,,,,,
AKR06GA99,Lookout Cove LTF MSGP,Kodiak,Hornby Alaska Timber Inc.,3-Jun-20,,,,,,,,,
AKR06AA62,Whittier Terminal,Whittier,"Shoreside Petroleum, Inc.",3-Jun-20,,,,,,,,,
AKR06AF48,Trident Seafoods Petersburg-MSGP,Petersburg,Trident Seafoods,1-Jun-20,,,,,,,,,
AKR06GA10,Silver Bay Seafoods False Pass MSGP,False Pass,Silver Bay Seafoods,1-Jun-20,,,,,,,,,
AKR06AD73,"Silver Bay Seafoods, Valdez",Valdez,Silver Bay Seafoods- Valdez,27-May-20,,,,,,,,,
AKR06AE37,Trident Seafoods Cordova North Facility,Cordova,Trident Seafoods,27-May-20,,,,,,,,,
AKR06AC56,Nome Tank  Farm,Nome,Crowley Fuels LLC,26-May-20,,,,,,,,,
AKR06AB80,KoKo North,Fairbanks,Everts Air Fuel,22-May-20,,,,,,,,,
AKR06AC58,Pogo Mine MSGP,Fairbanks,Northern Star (Pogo) LLC,21-May-20,,,,,,,,,
AKR06AD61,North Lemon Creek Material Source,Juneau,City and Borough of Juneau,21-May-20,,,,,,,,,
AKR06AD60,South Lemon Creek Material Source,Juneau,City and Borough of Juneau,21-May-20,,,,,,,,,
AKR06AC70,Stabler Point Rock Quarry,Juneau,City and Borough of Juneau,21-May-20,,,,,,,,,
AKR06AA85,Seward Rock Quarry,Seward,Kenai Peninsula Borough,21-May-20,,,,,,,,,
AKR06AF32,Silver Bay Seafoods - Naknek,Naknek,Silver Bay Seafoods,21-May-20,,,,,,,,,
AKR06AE33,Fort Wainwright Central Heat and Power Plant CHPP,Fort Wainwright,"Doyon Utilities, LLC",20-May-20,,,,,,,,,
AKR06AE20,Bethel Airport Delta Western Operations,Bethel,"Delta Western, LLC",20-May-20,,,,,,,,,
AKR06AC55,Kotzebue Tank Farm,Kotzebue,Crowley Fuels LLC,18-May-20,,,,,,,,,
AKR06AC25,USCG Air Station Sitka,Sitka,USCG,15-May-20,,,,,,,,,
AKR06AA20,Homer Harbor Marine Repair Facility,Homer,City of Homer Port and Harbor,14-May-20,,,,,,,,,
AKR06AA82,Lang Street Facility,Anchorage,Granite Construction Company,13-May-20,,,,,,,,,
AKR06AA18,Bryant Army Aviation Support Facility,JBER,Alaska Army National Guard,13-May-20,,,,,,,,,
AKR06AB16,QAP C Street Facility,Anchorage,QAP,13-May-20,,,,,,,,,
AKR06GA96,Delta Western LLC-Unalaska-Dutch Harbor Airport,Dutch Harbor,"Delta Western, LLC",13-May-20,,,,,,,,,
AKR06AA79,Snug Harbor Road Material Site,Cooper Landing,Kenai Peninsula Borough,13-May-20,,,,,,,,,
AKR06AF77,International Seafoods of Alaska,Kodiak,SILVER BAY SEAFOODS,12-May-20,,,,,,,,,
AKR06AB17,Fort Knox Mine Fairbanks,Fairbanks,"Fairbanks Gold Mining, Inc.",11-May-20,,,,,,,,,
AKR06AE63,Nikiski Terminal,Kenai,Tesoro Alaska Company LLC,8-May-20,,,,,,,,,
AKR06AD01,Kenai Pipe Line Facility,Kenai,Tesoro Alaska Company LLC,8-May-20,,,,,,,,,
AKR06AE25,Trident Kodiak-SOK,Kodiak,Trident Seafoods,8-May-20,,,,,,,,,
AKR06AD09,Klondike Concrete,Chugiak,Klondike Concrete,6-May-20,,,,,,,,,
AKR06AE87,Trident Seafoods Wrangell Facility,Wrangell,Trident Seafoods,6-May-20,,,,,,,,,
AKR06GA65,Kodiak Fishmeal Company MSPG,Kodiak,Kodiak Fishmeal Company,6-May-20,,,,,,,,,
AKR06AA24,Port of Cordova Shipyard Facility,Cordova,City of Cordova,5-May-20,,,,,,,,,
AKR06AC02,Agrium Kenai Nitrogen Operations,Kenai,Agrium Kenai Nitrogen Operations,1-May-20,,,,,,,,,
AKR06AF42,Alaska Aerofuel Inc.,Fairbanks,Alaska Aerofuel Inc.,1-May-20,,,,,,,,,
AKR06GA93,Peak Gold Project,Tok,"Peak Gold, LLc.",1-May-20,,,,,,,,,
AKR06AB73,KRM Quarry,Ketchikan,SECON,1-May-20,,,,,,,,,
AKR06AF55,Trident Seafoods Kodiak Pillar Mountain - KPM,Kodiak,Trident Seafoods,30-Apr-20,,,,,,,,,
AKR06AA94,Ketchikan International Airport,Ketchikan,Ketchikan International Airport,21-Apr-20,,,,,,,,,
AKR06AA26,Ugadaga Quarry,Unalaska,Northern Alaska Contractors,17-Apr-20,,,,,,,,,
AKR06AB33,Calder Mine,Calder           ,Columbia River Carbonates,17-Apr-20,,,,,,,,,
AKR06GA67,Ward Cove Facility-Delta Western,Anchorage,"Delta Western, LLC",10-Mar-20,,,,,,,,,
AKR06GA59,Sockeye Point,Seward,Sockeye Point Marine Services LLC,21-Feb-20,,,,,,,,,
AKR06GA54,Delta Western Juneau-Auke Bay Dock Fixed Facility,Juneau,"Delta Western, LLC",22-Jan-20,,,,,,,,,
AKR06GA43,Petro Star Fairbanks Rail and Truck Terminal,FAIRBANKS,Petro Star Inc,28-Oct-19,,,,,,,,,
AKR06GA41,Trident St Paul MSGP,Saint Paul,Trident Seafoods,3-Oct-19,,,,,,,,,
AKR06GA38,Trident Seafoods Chignik Support Facility,Chignik,Trident Seafoods,3-Oct-19,,,,,,,,,
AKR06GA37,Trident Seafoods Chignik Production Facility,Chignik,Trident Seafoods,3-Oct-19,,,,,,,,,
AKR06GA30,False Pass Fueling Services LLC,False Pass,Trident Seafoods,16-Sep-19,,,,,,,,,
AKR06GA29,False Pass Seafoods LLC,False Pass,Trident Seafoods,16-Sep-19,,,,,,,,,
AKR06GA26,Sterling Cement WP,Sterling,Halliburton Energy Services Inc.,4-Sep-19,,,,,,,,,
AKR06GA25,Fairbanks Bulk Cement Plant,Fairbanks,Halliburton Energy Services,4-Sep-19,,,,,,,,,
AKR06GA24,Baroid Mud Plt,Deadhorse,Halliburton Energy Services,4-Sep-19,,,,,,,,,
AKR06GA23,Halliburton North Slope Prudhoe Field Camp,Deadhorse,"Halliburton Energy Services, Inc",4-Sep-19,,,,,,,,,
AKR06GA22,Colville Transport-Van Horn Fuel Transfer Facility,Fairbanks,Colville Inc,23-Aug-19,,,,,,,,,
AKR06GA17,MPC North Pole Terminal Facility,North Pole,MPC Alaska Terminal Company LLC,1-Aug-19,,,,,,,,,
AKR06GA16,Alaska Stormwater Maintenance Yard,Anchorage,Alaska Stormwater Maintenance,17-Jul-19,,,,,,,,,
AKR06GA14,Salcha Canaday Homestead C&amp;D Monofill,Salcha,Central Recycling Services,3-Jul-19,,,,,,,,,
